USGS Landsat 7 Collection 1 Tier 1 TOA Reflectance,,,,
Name,Resolution,Wavelength,Description,Code
B1,30 meters,0.45 - 0.52 µm,Blue,B
B2,30 meters,0.52 - 0.60 µm,Green,G
B3,30 meters,0.63 - 0.69 µm,Red,R
B4,30 meters,0.77 - 0.90 µm,Near infrared,NIR
B5,30 meters,1.55 - 1.75 µm,Shortwave infrared 1,SWIR1
B6_VCID_1,30 meters,10.40 - 12.50 µm,"Low-gain Thermal Infrared 1. This band has expanded dynamic range and lower radiometric resolution (sensitivity), with less saturation at high Digital Number (DN) values. Resampled from 60m to 30m.",TH1
B6_VCID_2,30 meters,10.40 - 12.50 µm,"High-gain Thermal Infrared 1. This band has higher radiometric resolution (sensitivity), although it has a more restricted dynamic range. Resampled from 60m to 30m.",TH1A
B7,30 meters,2.08 - 2.35 µm,Shortwave infrared 2,SWIR2
B8,15 meters,0.52 - 0.90 µm,Panchromatic,PAN
,,,,
,,,,
,,,,
